section	pivot_word	template	occurrences	paper_count	top_papers	exemplar_quotes
abstract	however	However, the fabrication of highly efficient and ultra-small (<# μm) micro-light-emitting diodes, which are required for augmented-reality applications, remains a major technical challenge due to the presence of strong sidewall nonradiative recombination.	1	1	10.1038/s41467-023-43472-z	However, the fabrication of highly efficient and ultra-small (<3 μm) micro-light-emitting diodes, which are required for augmented-reality applications, remains a major technical challenge due to the presence of strong sidewall nonradiative recombination.
introduction	however	However, the near-eye operating environment of VR/AR microdisplays imposes strict limitations on the size and power consumption of the micro-LEDs.	1	1	10.1038/s41467-023-43472-z	However, the near-eye operating environment of VR/AR microdisplays imposes strict limitations on the size and power consumption of the micro-LEDs.
introduction	despite	Despite the considerable efforts to reduce sidewall surface nonradiative recombination in GaN micro-LEDs smaller than # μm, this problem persists.	1	1	10.1038/s41467-023-43472-z	Despite the considerable efforts to reduce sidewall surface nonradiative recombination in GaN micro-LEDs smaller than 10 μm, this problem persists.
introduction	but	Analysis of the EQE characteristics and measurement of the surface potential of the NBE-etched sidewall surface using Kelvin force microscopy (KFM) reveals that our devices effectively suppress nonradiative recombination related to not only sidewall defects generated during mesa etching but also intrinsic surface states.	1	1	10.1038/s41467-023-43472-z	Analysis of the EQE characteristics and measurement of the surface potential of the NBE-etched sidewall surface using Kelvin force microscopy (KFM) reveals that our devices effectively suppress nonradiative recombination related to not only sidewall defects generated during mesa etching but also intrinsic surface states.
results	but	These surfaces are close to the nonpolar m- and a-planes of the GaN crystal based on the crystalline orientation of the epitaxial wafer, but they may not represent the exact m- and a-planes of GaN because of the limited precision of device processes.	1	1	10.1038/s41467-023-43472-z	These surfaces are close to the nonpolar m- and a-planes of the GaN crystal based on the crystalline orientation of the epitaxial wafer, but they may not represent the exact m- and a-planes of GaN because of the limited precision of device processes.
results	although	Although the differences in light-extraction efficiency need to be considered, the aforementioned EQE value is substantially higher than those reported for GaN blue micro-LEDs with comparable dimensions.	1	1	10.1038/s41467-023-43472-z	Although the differences in light-extraction efficiency need to be considered, the aforementioned EQE value is substantially higher than those reported for GaN blue micro-LEDs with comparable dimensions.
results	however	However, the most notable finding revealed in Fig. # is that all NBE-etched devices exhibited very slow decreases in EQEs with decreasing current density from the current density at peak EQEs.	1	1	10.1038/s41467-023-43472-z	However, the most notable finding revealed in Fig. 2 is that all NBE-etched devices exhibited very slow decreases in EQEs with decreasing current density from the current density at peak EQEs.
results	while	In this study, we observed that the NBE-etched sample had a slightly higher (#–# V) surface potential and upward surface band bending compared to the reference sample in the region between the etching bottom and MQW, while the two samples exhibited similar surface potentials around the MQW position.	1	1	10.1038/s41467-023-43472-z	In this study, we observed that the NBE-etched sample had a slightly higher (0.3–0.4 V) surface potential and upward surface band bending compared to the reference sample in the region between the etching bottom and MQW, while the two samples exhibited similar surface potentials around the MQW position.
abstract	however	However, small-size pixels suffer from efficiency degradations, which increase the power consumption of the display.	1	1	10.1038/s41467-023-36773-w	However, small-size pixels suffer from efficiency degradations, which increase the power consumption of the display.
introduction	however	However, unlike LEDs for conventional lighting applications, critical problems have emerged with the size shrinkage to a few micrometers which means a high surface-to-volume ratio.	1	1	10.1038/s41467-023-36773-w	However, unlike LEDs for conventional lighting applications, critical problems have emerged with the size shrinkage to a few micrometers which means a high surface-to-volume ratio.
introduction	although	From these results, although there were improvements regarding peak EQE values and reduced dark current, the proposed methods must rely on post-growth techniques, where the perfect sidewall passivation method or the defect-free pixelization remains to be questionable.	1	1	10.1038/s41467-023-36773-w	From these results, although there were improvements regarding peak EQE values and reduced dark current, the proposed methods must rely on post-growth techniques, where the perfect sidewall passivation method or the defect-free pixelization remains to be questionable.
introduction	but	For these reasons, a reconsideration of epitaxial structures for μLEDs display must be carried out before post-growth optimization, but it has not been seriously considered.	1	1	10.1038/s41467-023-36773-w	For these reasons, a reconsideration of epitaxial structures for μLEDs display must be carried out before post-growth optimization, but it has not been seriously considered.
results	but	Several studies have reported that decreasing QB thickness mitigates the efficiency droop in large-sized LEDs because they not only enhance the overlap of electron and hole wavefunctions but also decrease the kinetic energy which assists the escape of carriers induced by the internal electric field in thinner QBs,,.	1	1	10.1038/s41467-023-36773-w	Several studies have reported that decreasing QB thickness mitigates the efficiency droop in large-sized LEDs because they not only enhance the overlap of electron and hole wavefunctions but also decrease the kinetic energy which assists the escape of carriers induced by the internal electric field in thinner QBs,,.
results	while	To investigate the practical effect of QB thickness on characteristics of μLEDs, we designed epitaxial structures with different QB thicknesses of # nm, # nm, and # nm, (namely QB #, QB #, and QB #), while remaining other layers completely identical as shown in Fig. #a.	1	1	10.1038/s41467-023-36773-w	To investigate the practical effect of QB thickness on characteristics of μLEDs, we designed epitaxial structures with different QB thicknesses of 3.5 nm, 7.5 nm, and 10.5 nm, (namely QB 3.5, QB 7.5, and QB 10.5), while remaining other layers completely identical as shown in Fig. 1a.
results	although	From this result, we confirmed that thick QB would lead to improved radiative recombination with better carrier confinement in QW, although there were some studies suggesting thin QB has better confinement due to lower internal field.	1	1	10.1038/s41467-023-36773-w	From this result, we confirmed that thick QB would lead to improved radiative recombination with better carrier confinement in QW, although there were some studies suggesting thin QB has better confinement due to lower internal field.
results	despite	Despite this factor, the peak wavelength shift and change in FWHM for QB # in the low current density region were negligible, which means no chromaticity change in low current density.	1	1	10.1038/s41467-023-36773-w	Despite this factor, the peak wavelength shift and change in FWHM for QB 10.5 in the low current density region were negligible, which means no chromaticity change in low current density.
results	however	However, QW thickness variation is more complicated because it also provides a trade-off between several important physical properties such as tunneling rate, barrier height, energy states, overlaps of carrier wavefunctions and critical thickness.	1	1	10.1038/s41467-023-36773-w	However, QW thickness variation is more complicated because it also provides a trade-off between several important physical properties such as tunneling rate, barrier height, energy states, overlaps of carrier wavefunctions and critical thickness.
results	nevertheless	Nevertheless, the designed epitaxial structure exhibits low surface current in the low current density regime which is an advantageous property in epitaxial structure for display applications, and it was consistent in the optical properties.	1	1	10.1038/s41467-023-36773-w	Nevertheless, the designed epitaxial structure exhibits low surface current in the low current density regime which is an advantageous property in epitaxial structure for display applications, and it was consistent in the optical properties.
methods	but	The simulated LED structure used is identical to the samples proposed in this study but was simulated in a vertical structure.	1	1	10.1038/s41467-023-36773-w	The simulated LED structure used is identical to the samples proposed in this study but was simulated in a vertical structure.
abstract	however	However, their widespread adoption requires the development of cost-effective chips and low-defect pixelation processes.	1	1	10.1038/s41467-024-53965-0	However, their widespread adoption requires the development of cost-effective chips and low-defect pixelation processes.
abstract	nevertheless	Nevertheless, the small volume and edge-directed emission of nanorod-light-emitting diodes necessitate brightness and light extraction improvements.	1	1	10.1038/s41467-024-53965-0	Nevertheless, the small volume and edge-directed emission of nanorod-light-emitting diodes necessitate brightness and light extraction improvements.
introduction	however	However, critical challenges remain in micro-LED display production.	1	1	10.1038/s41467-024-53965-0	However, critical challenges remain in micro-LED display production.
introduction	while	A significant concern is the need to improve the yield of the pixel manufacturing process while addressing the substantial fabrication costs associated with micro-LED chip production,,,.	1	1	10.1038/s41467-024-53965-0	A significant concern is the need to improve the yield of the pixel manufacturing process while addressing the substantial fabrication costs associated with micro-LED chip production,,,.
introduction	despite	Despite presenting small chip sizes, rapid transfer speeds, and high accuracy, laser-based transfer is susceptible to LED chip damage when the chip size becomes smaller.	1	1	10.1038/s41467-024-53965-0	Despite presenting small chip sizes, rapid transfer speeds, and high accuracy, laser-based transfer is susceptible to LED chip damage when the chip size becomes smaller.
introduction	but	Conventional FSA, laser transfer, and stamp transfer have respective strengths and weaknesses, but each method has critical issues that must be solved prior to commercializing low-cost micro-LEDs.	1	1	10.1038/s41467-024-53965-0	Conventional FSA, laser transfer, and stamp transfer have respective strengths and weaknesses, but each method has critical issues that must be solved prior to commercializing low-cost micro-LEDs.
results	but	Fin-LEDs have similar volumes and surface areas as nanorod LEDs but exhibit superior optical properties due to their vertical emission and large MQW area.	1	1	10.1038/s41467-024-53965-0	Fin-LEDs have similar volumes and surface areas as nanorod LEDs but exhibit superior optical properties due to their vertical emission and large MQW area.
results	whereas	Whereas c-plane nanorods, when horizontally aligned, emit light at their ends, with the emitted light directed horizontally toward the MQW layer due to the waveguide effect influenced by the high refractive index of the GaN nanorods, vertically arranged fin-LEDs emit light from the MQW that is predominantly directed toward the front of the EL device.	1	1	10.1038/s41467-024-53965-0	Whereas c-plane nanorods, when horizontally aligned, emit light at their ends, with the emitted light directed horizontally toward the MQW layer due to the waveguide effect influenced by the high refractive index of the GaN nanorods, vertically arranged fin-LEDs emit light from the MQW that is predominantly directed toward the front of the EL device.
results	nevertheless	Nevertheless, this type of LED can sufficiently move toward the assembly electrode by p-DEP.	1	1	10.1038/s41467-024-53965-0	Nevertheless, this type of LED can sufficiently move toward the assembly electrode by p-DEP.
results	however	The simulation results exhibit periodic torque variations based on the initial rotation angle; however, these variations cannot fully explain the selective alignment of the fin-LED.	1	1	10.1038/s41467-024-53965-0	The simulation results exhibit periodic torque variations based on the initial rotation angle; however, these variations cannot fully explain the selective alignment of the fin-LED.
results	while	As simple examples, spherical particles composed of SiO# experience negative-DEP (n-DEP) in a similar low-frequency range as used for self-assembly of fin-LEDs, while spherical particles composed of GaN experience p-GaN in that frequency range,.	1	1	10.1038/s41467-024-53965-0	As simple examples, spherical particles composed of SiO2 experience negative-DEP (n-DEP) in a similar low-frequency range as used for self-assembly of fin-LEDs, while spherical particles composed of GaN experience p-GaN in that frequency range,.
discussion	while	While sharing a size comparable to those of previously developed nanorod-LEDs, our fin-LEDs exhibit Lambertian front emission characteristics, as demonstrated by PL, CL, and EL measurements.	1	1	10.1038/s41467-024-53965-0	While sharing a size comparable to those of previously developed nanorod-LEDs, our fin-LEDs exhibit Lambertian front emission characteristics, as demonstrated by PL, CL, and EL measurements.
discussion	although	Although at this early stage of fin-LED development, the EQE is slightly lower than those of previously reported nanorod-LEDs, fin-LEDs nonetheless can address the inherent issues facing nanorod-LED and micro-LED technology.	1	1	10.1038/s41467-024-53965-0	Although at this early stage of fin-LED development, the EQE is slightly lower than those of previously reported nanorod-LEDs, fin-LEDs nonetheless can address the inherent issues facing nanorod-LED and micro-LED technology.
methods	while	While expressing simulation results through mathematical equations may have limitations, we want to emphasize the critical role of the MST method in our approach.	1	1	10.1038/s41467-024-53965-0	While expressing simulation results through mathematical equations may have limitations, we want to emphasize the critical role of the MST method in our approach.
introduction	however	However, one of the critical challenges to realizing UHD RGB displays is the low EQEs of inorganic μ-LEDs in the red spectral range.	1	1	10.1038/s41467-025-60886-z	However, one of the critical challenges to realizing UHD RGB displays is the low EQEs of inorganic μ-LEDs in the red spectral range.
introduction	yet	For the commercialisation of μ-LED UHD displays, a breakthrough in surface passivation technology is essential to ensure high EQE for red μ-LEDs with diameters less than # μm, which is not yet achieved.	1	1	10.1038/s41467-025-60886-z	For the commercialisation of μ-LED UHD displays, a breakthrough in surface passivation technology is essential to ensure high EQE for red μ-LEDs with diameters less than 2 μm, which is not yet achieved.
results	despite	Despite the absence of Qf and/or Qp, there is still an equilibrium energy band bending, hence electron accumulation or increase at the AlN/GaN heterointerface via equalization of the Fermi level, as sketched in Fig. #d.	1	1	10.1038/s41467-025-60886-z	Despite the absence of Qf and/or Qp, there is still an equilibrium energy band bending, hence electron accumulation or increase at the AlN/GaN heterointerface via equalization of the Fermi level, as sketched in Fig. 1d.
results	however	We note, however, that this does not affect the field effect passivation of e-AlN or increase non-radiative recombination, as the electron is a majority carrier in (In)GaN MQWs.	1	1	10.1038/s41467-025-60886-z	We note, however, that this does not affect the field effect passivation of e-AlN or increase non-radiative recombination, as the electron is a majority carrier in (In)GaN MQWs.
results	although	Although ALD is often used as a passivation method for complex #D structures due to its superior conformality, ALD AlN layers are typically amorphous or polycrystalline.	1	1	10.1038/s41467-025-60886-z	Although ALD is often used as a passivation method for complex 3D structures due to its superior conformality, ALD AlN layers are typically amorphous or polycrystalline.
results	while	In detail, the process is designed to ignite the Ar plasma after every #-ALD-cycles (Fig. #e and Supplementary Fig. #b) to minimize the surface roughness of the passivation layer while maintaining an epitaxial relationship.	1	1	10.1038/s41467-025-60886-z	In detail, the process is designed to ignite the Ar plasma after every 4-ALD-cycles (Fig. 1e and Supplementary Fig. 1b) to minimize the surface roughness of the passivation layer while maintaining an epitaxial relationship.
results	nevertheless	Nevertheless, the atom-layer-thick line profile analysis, where only a single atomic layer is included with a width of # nm (Supplementary Fig. #b), clearly reveals gradually decreasing oscillation amplitude abruptly decreases in the e-AlN region (Supplementary Fig. #c).	1	1	10.1038/s41467-025-60886-z	Nevertheless, the atom-layer-thick line profile analysis, where only a single atomic layer is included with a width of 0.25 nm (Supplementary Fig. 3b), clearly reveals gradually decreasing oscillation amplitude abruptly decreases in the e-AlN region (Supplementary Fig. 3c).
methods	while	The epitaxial passivation consisted of a #–#-nm-thick epitaxial AlN/#-nm-thick normal amorphous AlN, Al#O#, or SiO# shell, while the control passivation consisted of a double amorphous layer of #-nm-HfO# (thermal)/#-nm-Al#O#, similar to that reported in ref. (Fig. #e and Supplementary Fig. #a).	1	1	10.1038/s41467-025-60886-z	The epitaxial passivation consisted of a 0.5–10-nm-thick epitaxial AlN/40-nm-thick normal amorphous AlN, Al2O3, or SiO2 shell, while the control passivation consisted of a double amorphous layer of 10-nm-HfO2 (thermal)/40-nm-Al2O3, similar to that reported in ref. (Fig. 1e and Supplementary Fig. 1a).
methods	but	The actual fabricated μLED display was TFT-free but specially designed (Supplementary Figs. #a–e) to show three different still images with the same layer structure as that of the TFT except for the active layer (Supplementary Fig. #f).	1	1	10.1038/s41467-025-60886-z	The actual fabricated μLED display was TFT-free but specially designed (Supplementary Figs. 10a–e) to show three different still images with the same layer structure as that of the TFT except for the active layer (Supplementary Fig. 10f).
abstract	while	The # µm yellow micro-LED achieved an electrical-to-optical bandwidth of # MHz at # A/cm², while the # µm red device reached # MHz at # A/cm².	1	1	10.1038/s41467-026-74151-4	The 20 µm yellow micro-LED achieved an electrical-to-optical bandwidth of 2850.4 MHz at 6.25 A/cm², while the 20 µm red device reached 2593.4 MHz at 50 A/cm².
