from_section	to_section	pattern	occurrences	paper_count	top_papers	exemplar_quotes
abstract	introduction	Microdisplays using semiconductor micro-light-emitting diodes (micro-LEDs) as light emitters are considered to be ideal candidates for next-generation virtual reality (VR) and augmented reality (AR) smart glasses that require high-resolution, high-luminance, and energy-efficient displays.	1	1	10.1038/s41467-023-43472-z	Microdisplays using semiconductor micro-light-emitting diodes (micro-LEDs) as light emitters are considered to be ideal candidates for next-generation virtual reality (VR) and augmented reality (AR) smart glasses that require high-resolution, high-luminance, and energy-efficient displays.
introduction	results	The NBE system employs a unique carbon electrode featuring a high-aspect-ratio aperture positioned between the ICP discharge chamber and the etching chamber.	1	1	10.1038/s41467-023-43472-z	The NBE system employs a unique carbon electrode featuring a high-aspect-ratio aperture positioned between the ICP discharge chamber and the etching chamber.
results	discussion	In summary, we successfully demonstrated a # × # μm# InGaN/GaN blue micro-LED with negligible sidewall surface nonradiative recombination.	1	1	10.1038/s41467-023-43472-z	In summary, we successfully demonstrated a 3.5 × 3.5 μm2 InGaN/GaN blue micro-LED with negligible sidewall surface nonradiative recombination.
discussion	methods	For the Cl#-based etching process, the ICP source power was set to # W and modulated at a frequency of # kHz with a #% duty ratio.	1	1	10.1038/s41467-023-43472-z	For the Cl2-based etching process, the ICP source power was set to 800 W and modulated at a frequency of 10 kHz with a 50% duty ratio.
abstract	introduction	Recently, as the demand for ultrahigh-resolution display in near-eye applications such as augmented reality/virtual reality (AR/VR) has highly increased, group-III nitride (N)-based micro light-emitting-diodes (μLEDs) have received much attention as one of the strong candidates for the self-emissive light source, due to their outstanding performances of high resolution, high luminous efficiency and brightness, fast response speed, and robust durability,,,,.	1	1	10.1038/s41467-023-36773-w	Recently, as the demand for ultrahigh-resolution display in near-eye applications such as augmented reality/virtual reality (AR/VR) has highly increased, group-III nitride (N)-based micro light-emitting-diodes (μLEDs) have received much attention as one of the strong candidates for the self-emissive light source, due to their outstanding performances of high resolution, high luminous efficiency and brightness, fast response speed, and robust durability,,,,.
introduction	results	QB plays an important role in the active region of LEDs as a carrier confinement layer.	1	1	10.1038/s41467-023-36773-w	QB plays an important role in the active region of LEDs as a carrier confinement layer.
results	methods	All four InGaN-based epitaxial structure (QB #, QB #, QB #, and QB # Balanced EBL) were grown on #-inch Si (#) wafer in a MOCVD chamber.	1	1	10.1038/s41467-023-36773-w	All four InGaN-based epitaxial structure (QB 3.5, QB 7.5, QB 10.5, and QB 10.5 Balanced EBL) were grown on 8-inch Si (111) wafer in a MOCVD chamber.
abstract	introduction	Micro-light-emitting diodes (Micro-LEDs) have emerged as a key technology in next-generation display technology due to their efficient performance, extended lifespan, wide color gamut, modular capabilities, and stability,,,,,,,.	1	1	10.1038/s41467-024-53965-0	Micro-light-emitting diodes (Micro-LEDs) have emerged as a key technology in next-generation display technology due to their efficient performance, extended lifespan, wide color gamut, modular capabilities, and stability,,,,,,,.
introduction	results	We fabricated fin-LEDs in large quantities (tens of millions) from a #-inch wafer using a top-down etching process, as illustrated in Supplementary Fig. #	1	1	10.1038/s41467-024-53965-0	We fabricated fin-LEDs in large quantities (tens of millions) from a 4-inch wafer using a top-down etching process, as illustrated in Supplementary Fig. 2.
results	discussion	We successfully developed submicron-scale fin-LEDs, a possible LED structure allowing face-selective assembly.	1	1	10.1038/s41467-024-53965-0	We successfully developed submicron-scale fin-LEDs, a possible LED structure allowing face-selective assembly.
discussion	methods	The experiment utilized a blue epitaxial growth wafer purchased from SEMITEK Co., consisting of a # nm p-GaN layer, # nm InGaN/GaN MQWs, and a # μm n-GaN layer.	1	1	10.1038/s41467-024-53965-0	The experiment utilized a blue epitaxial growth wafer purchased from SEMITEK Co., consisting of a 50 nm p-GaN layer, 150 nm InGaN/GaN MQWs, and a 2.0 μm n-GaN layer.
abstract	introduction	Inorganic micro-LED (μ-LED) displays exhibit both high brightness and a contrast ratio superior to those of OLED and reflective LCD displays.	1	1	10.1038/s41467-025-60886-z	Inorganic micro-LED (μ-LED) displays exhibit both high brightness and a contrast ratio superior to those of OLED and reflective LCD displays.
introduction	results	Figure # illustrates the epitaxial passivation of ultrathin single-crystalline AlN (e-AlN) passivation for high efficiency in the red spectral region.	1	1	10.1038/s41467-025-60886-z	Figure 1 illustrates the epitaxial passivation of ultrathin single-crystalline AlN (e-AlN) passivation for high efficiency in the red spectral region.
results	methods	We fabricated InGaN-based red nano LED (diameter (D): # μm/height (H): # μm/pitch (P): # μm) and μ-LED (D: # μm/H: # μm/P: # μm) arrays, As the subpixel pitch of # ppi (pentile) is # μm × # μm, both nano-LEDs and μ-LEDs can easily extend into ># ppi.	1	1	10.1038/s41467-025-60886-z	We fabricated InGaN-based red nano LED (diameter (D): 0.65 μm/height (H): 4.3 μm/pitch (P): 1.8 μm) and μ-LED (D: 1.5 μm/H: 2.0 μm/P: 4.5 μm) arrays, As the subpixel pitch of 5000 ppi (pentile) is 2.5 μm × 5.0 μm, both nano-LEDs and μ-LEDs can easily extend into >5000 ppi.
