rule_id	category	description	paper_count	severity	evidence	prior_row	top_papers
X001	hedge_ladder	Causal claims strongest in abstract + results (we demonstrate an EQE of 21.4%); soften to associative in discussion (these results suggest that charge balance governs recombination); speculative in outlook. Never strengthen hedge backward across sections.	750	major	distilled	novel_cross_section	10.1038/s41377-022-00855-z, 10.1038/s41377-022-01036-8, 10.1038/s41377-024-01500-7
X002	entity_continuity	Every number / abbreviation / device metric (EQE, luminance, cd m^-2^, T50) / material or layer name (NiOx, ZnMgO, TPBi) in entity_registry must appear byte-identically in every section that mentions it.	750	major	distilled	novel_cross_section	10.1038/s41377-024-01601-3, 10.1038/s41377-024-01704-x, 10.1038/s41377-024-01727-4
X003	citation_numbering	Numeric superscripts assigned in order of first mention; never reused; contiguous across sections.	750	major	distilled	novel_cross_section	10.1038/s41377-025-01740-1, 10.1038/s41377-025-01817-x, 10.1038/s41377-025-01835-9
X004	abbreviation_expansion	First occurrence in the paper = full term + parenthetical abbreviation (external quantum efficiency (EQE); nickel oxide (NiOx)); later occurrences = abbreviation only. Cross-section identical.	750	major	distilled	novel_cross_section	10.1038/s41377-025-01867-1, 10.1038/s41377-025-01987-8, 10.1038/s41377-025-02000-y
X005	methods_last	SP001 / SP004 house style: methods is the final section written, after discussion (and after the last Results subsection when discussion is folded into Results).	630	major	distilled	novel_cross_section	10.1038/s41377-025-02019-1, 10.1038/s41377-026-02184-x, 10.1038/s41377-026-02231-7
X006	transition_hooks	First sentence of section N must reference the claim, device or metric that closed section N-1 (e.g., the 16.3% EQE or the passivated InP QDs).	500	minor	distilled	novel_cross_section	10.1038/s41377-026-02246-0, 10.1038/s41377-026-02247-z, 10.1038/s41467-018-02978-7
X007	hedge_consistency	The same underlying claim receives the same hedge tier across abstract / intro / results / discussion; do not casually downgrade (the charge-balance mechanism stays associative if only J-V asymmetry supports it).	620	major	distilled	novel_cross_section	10.1038/s41467-018-05760-x, 10.1038/s41467-018-07099-9, 10.1038/s41467-019-08749-2
X008	logic_line_anchor	Every section's lead sentence must trace back to one item in logic_line or story_arc (synthesis -> characterization -> device metrics -> mechanism attribution).	500	minor	distilled	novel_cross_section	10.1038/s41467-019-13437-2, 10.1038/s41467-019-13951-3, 10.1038/s41467-020-15481-9
X009	numeric_format	Numerals 10+ (Arabic), 1-9 spelled out (per R023); consistent within and across sections (2.2 V turn-on, 30 devices, sixteen batches).	750	major	distilled	novel_cross_section	10.1038/s41467-020-15944-z, 10.1038/s41467-020-16560-7, 10.1038/s41467-020-16659-x
X010	reference_density_decay	Citation density: intro 5-10/section (record EQE and prior passivation strategies), results 0-2 (own data), discussion 1/paragraph (comparison tables of reported QLEDs).	500	major	distilled	novel_cross_section	10.1038/s41467-020-18006-6, 10.1038/s41467-021-24931-x, 10.1038/s41467-021-25955-z
