from_section	to_section	tier	claim_verb	evidence_verb	hedge_verb	total_occurrences	exemplar_pattern	source
introduction	results	causal	present	fabricate	demonstrate	70	Here, we present a unique hybrid technology of transfer printing µm-scale QDs by exploiting the surface energy differences of various interfaces that were treated with self-assembled monolayers.	qled_corpus_distilled_v1
introduction	results	associative	investigate	fabricate	demonstrate	52	Here, to address the contradiction, we develop an attractive approach by employing D-A type TADF emitters for the blue emission component and MR-TADF emitters for the yellow emission component in a dual-color all-TADF WOLED configuration (Fig. 1 ).	qled_corpus_distilled_v1
results	discussion	associative	indicate	measure	suggest	63	Importantly these results indicate that SAM-modified HTLs not only enhance charge extraction but also effectively minimize nonradiative recombination losses.	qled_corpus_distilled_v1
results	discussion	causal	attribute	enhance	confirm	41	These improvements are mainly attributed to the enhanced hole injection contributed from the effective hole hopping and increased hole concentrations of HTL.	qled_corpus_distilled_v1
results	discussion	causal	summarize	achieve	demonstrate	34	In summary we have obtained high-quality Cs₀.₈₇MA₀.₁₃PbBr₃ perovskite light-emitting thin films with minimized pinholes through electron-injecting interface passivation and perovskite composition modulation.	qled_corpus_distilled_v1
results	discussion	speculative	hypothesize	probe	speculate	69	We hypothesized that molecular pinning would help reduce pinholes by better controlling the crystallization kinetics of the CsPbBr₃ films.	qled_corpus_distilled_v1
results	discussion	associative	compare	simulate	agree	48	The high-resolution TEM (HRTEM) image reveals a lattice spacing of 0.58 nm for PQDs which is consistent with previous work (Fig. 2b).	qled_corpus_distilled_v1
gap	strategy	associative	address	design	propose	32	Here, to address the contradiction, we develop an attractive approach by employing D-A type TADF emitters for the blue emission component and MR-TADF emitters for the yellow emission component in a dual-color all-TADF WOLED configuration (Fig. 1 ).	qled_corpus_distilled_v1
synthesis	characterization	causal	synthesize	characterize	confirm	66	The as-prepared green InP/ZnSe/ZnS core/shell/shell QDs containing oleic acid ligands were measured to have an average diameter of ~8.6 ± 1.2 nm.	qled_corpus_distilled_v1
characterization	device_performance	causal	optimize	measure	demonstrate	15	Prior to the device fabrication and performance, we firstly examined if the charge balancing has been improved by post- modification.	qled_corpus_distilled_v1
device_performance	mechanism	associative	attribute	probe	suggest	37	These improvements are mainly attributed to the enhanced hole injection contributed from the effective hole hopping and increased hole concentrations of HTL.	qled_corpus_distilled_v1
strategy	metric_gain	causal	achieve	measure	confirm	81	The MoO₃-based PeLED shows much higher current density (more than double increase from 5 to 8.5 V) and the maximum luminance is enhanced from 4000 to 14,700 cd m⁻², which is a 3.7 times improvement.	qled_corpus_distilled_v1
metric_gain	stability	causal	verify	measure	demonstrate	61	Furthermore, the T50 of the target device at an initial luminance of 100 cd m−2 increased from 34.4 min in the original group to 76.7 min (Fig. 6f).	qled_corpus_distilled_v1
