phrase_id	slot	phrase	paper_count	usage_note	evidence	prior_row	top_papers
P2000	abstract	however, the efficiency of X remains limited by the trade-off between Y and Z.	6	domain gap, noun-pair contrast with en-dash	distilled_physics		10.1038/s41467-023-40194-0;10.1038/s41467-026-74151-4;10.1038/s41467-022-29538-4
P2001	abstract	here we report X QLEDs with an external quantum efficiency of N%.	2	Here we report + lead metric	distilled_physics		10.1038/s41467-024-50022-8;10.1038/s41467-023-35954-x
P2002	abstract	blue emissive devices remain limited by short operational lifetime and spectral instability.	3	blue-device gap statement	distilled_physics		10.1038/s41467-019-08749-2;10.1038/s41467-025-62345-1;10.1038/s41377-025-01817-x
P2003	results	devices exhibited a peak EQE of N%, a luminance of M cd m⁻² and a turn-on voltage of V.	52	metric triplet reporting	distilled_physics		10.1038/s41467-020-15944-z;10.1038/ncomms15640;10.1038/s43246-021-00203-5
P2004	results	the operational lifetime (T50) reached X hours at an initial luminance of Y cd m⁻².	24	lifetime reporting, state initial luminance	distilled_physics		10.1038/s41467-020-15481-9;10.1038/s41467-025-65135-x;10.1038/s41467-025-57304-9
P2005	discussion	the enhancement is attributed to X, which suppresses non-radiative recombination.	28	device-mechanism attribution	distilled_physics		10.1038/s41467-025-65135-x;10.1038/s41467-025-58047-3;10.1038/ncomms15640
P2006	discussion	X is ascribed to balanced charge injection in the emissive layer.	5	attribution alternative	distilled_physics		10.1038/s41377-024-01601-3;10.1038/s41467-018-05760-x;10.1038/s41467-020-16560-7
P2007	methods	the electron-transport layer was spin-coated onto the ITO substrate and annealed at X °C.	33	fabrication past passive	distilled_physics		10.1038/ncomms15640;10.1038/s41467-020-15944-z;10.1038/s41467-024-55376-7
P2008	introduction	quantum-dot light-emitting diodes (QLEDs) offer size-tunable, narrow-linewidth emission for display and lighting applications.	19	field framing with abbreviation introduction	distilled_physics		10.1038/s43246-021-00203-5;10.1038/s41467-025-65135-x;10.1038/s41467-019-08749-2
P2009	sentence	X compares favourably with previously reported values for Y [citation needed].	8	comparison with citation slot	distilled_physics		10.1038/s41467-022-28480-9;10.1038/s41377-025-01740-1;10.1038/s41563-024-01812-4
P2010	methods	all device fabrication and measurement were performed in a nitrogen-filled glovebox unless stated otherwise.	47	atmosphere statement, ambient exception clause	distilled_physics		10.1038/s41377-022-01036-8;10.1038/s41467-024-55376-7;10.1038/s41467-025-58047-3
P3000	abstract	however, the performance of X remains limited by Y and Z.	21	物理 gap 句：Y/Z 填具体物理成因（defects、charge imbalance、short lifetime）	distilled_physics		10.1038/s41467-023-36118-7, 10.1038/s41467-024-47184-w, 10.1038/s41467-019-08749-2
P3001	abstract	despite progress in X, Y remains challenging.	17	让步+gap：remains challenging/elusive/unclear，不写 nobody knows	distilled_physics		10.1038/s41467-025-58471-5, 10.1038/s41467-020-16659-x, 10.1038/s41467-025-57304-9
