rule_id	category	description	paper_count	severity_votes	severity	exemplar_quote	primary_section	evidence	prior_row	top_papers
R001	hedge_calibration	"causal claim: 用 ""we demonstrate / we show / we identify""; 强结果用过去式 direct claim"	multi-paper		major	Here we demonstrate strain-graded CdSe-ZnSe core-shell QDs with compositionally abrupt interface by the coherent pseudomorphic heteroepitaxy.		prior		
R002	hedge_calibration	"associative claim: 用 ""consistent with / in line with / supports / suggests""; 不强行归因"	multi-paper		major	The results are consistent with the energy level alignment extracted from ultraviolet photo-electron spectroscopy (UPS) measurements.		prior		
R003	hedge_calibration	"speculative claim: 用 ""may / could / might / possibly / prompts us to speculate""; 用 modal + 模糊主语"	multi-paper		major	The lack of a peak EQE may be due to its occurrence at current densities below the measured range.		prior		
R004	hedge_calibration	"gap statement: 用 ""remains elusive / unclear / poorly understood / largely unexplored""; 不是 ""nobody knows"""	multi-paper		major	It remains unclear whether electrons can leak via paths 4 and 5 at low voltage.		prior		
R005	claim_grammar	"abstract 必含 ""Here we ..."" 或 ""Here, by/in/using ..., we ..."" 一句，明示本文工作"	multi-paper		major	Here we report a dual-strategy approach combining facet engineering and controlled surface oxidation to address these limitations.		prior		
R006	claim_grammar	"abstract 末尾必含 ""Our study/data/findings provide(s) ..."" 或 ""Together, our findings reveal ..."" 总结性 claim"	multi-paper		major	The ROI-SAM based devices retained 90% of their initial efficiency (T90) after about 1000 hours.		prior		
R007	claim_grammar	"results 段每段一个 lead claim 句（""We find / show / identify / demonstrate ...""），然后 evidence"	multi-paper		major	The EQE histogram of 30 devices was presented in Fig. 4g, showing an average EQE of 25.3% with high reproducibility.		prior		
R008	claim_grammar	"discussion 用 ""Our findings suggest/imply/indicate""；不要重复 abstract 里的 ""demonstrate"""	multi-paper		major	Our findings provide a universal mechanism for enhancing charge balance in nanocrystal-based electroluminescent devices.		prior		
R009	evidence_bound	每个非平凡 claim 挂 figure/data citation（Fig. X, Extended Data Fig. X, Table X）	multi-paper		major	Therefore the SD-PQLED exhibits a higher electro-optical conversion efficiency with a peak EQE of 9.7% (Fig. 3e).		prior		
R010	evidence_bound	citation 紧跟被引概念之后，不移到句末	multi-paper		major	Notably, the patterned blue devices achieve a peak external quantum efficiency (EQE) of 7.8% and a maximum brightness of 39,472 cd m−2.		prior		
R011	paragraph_craft	intro paragraph 1：领域最宽背景（1-2 句）+ 关键概念定义（1-2 句）+ 现状综述（2-3 句）	multi-paper		major	Quantum-dot light-emitting diodes (QLEDs) have emerged as cost-effective and high-performance electroluminescent (EL) devices for next-generation display and solid-state lighting technologies.		prior		
R012	paragraph_craft	intro paragraph 2-3：现有方法局限 / 知识 gap / 未解问题	multi-paper		major	Despite a decade of progress, fabrication of energy-efficient QLEDs with lighting-grade brightness remains elusive.		prior		
R013	paragraph_craft	intro paragraph 末 / 开新段：本文工作 + 总体方法 + 总体发现预告	multi-paper		major	Here we present large-area high-resolution full-color QD patterning utilizing a selective electrophoretic deposition (SEPD) technique.		prior		
R014	paragraph_craft	discussion：先重申 lead finding（不带新数据），再 mechanistically interpret，再 limitation，再 implication	multi-paper		major	The improvement in VOC, by 50 mV, is attributed to the reduced interfacial recombination.		prior		
R015	register_tone	"第一人称复数 ""we"" 主导，避免 ""the authors""、单数 ""I""、passive 过度"	multi-paper		major	Here we show, by adapting the idea of dual ionic passivation of quantum dots, ink-jet printed quantum dot light emitting diodes with an external quantum efficiency over 16% and half lifetime of more than 1,721,000 hours were reported for the first time.		prior		
R016	register_tone	"hedged over-claim 黑名单：避免 ""obviously / clearly / undoubtedly / certainly / of course"""	multi-paper		major			prior		
R017	register_tone	"Nature 不使用感叹号，不使用引号强调（避免 ""novel"" ""first"" ""groundbreaking"" 出现过多）"	multi-paper		minor			prior		
R018	citation_rhythm	intro 段引用密度高（每句 1-3 个上标），results/discussion 引用密度下降（自己数据为主）	multi-paper		major			prior		
R019	citation_rhythm	"引用组格式：连续引用用连字符 ""1–5""，非连续用逗号 ""1,3,5"""	multi-paper		minor			prior		
R020	sentence_craft	避免长句堆叠（>50 词一句话）；用 period 而非 comma + clause 链	multi-paper		major			prior		
R021	sentence_craft	topic sentence 优先：每段第一句给出该段 lead 主张；细节证据在后	multi-paper		major	Figure 6d shows the current density-voltage (J-V) curve of the fin-LEDs.		prior		
R022	sentence_craft	parallel structure：并列成分用相同语法形式	multi-paper		minor			prior		
R023	numerals_notation	10 以下数字拼写（three batches），10 及以上用数字（30 devices；1,000 cd m⁻²）；Nature 例外：figure/table 里全数字	multi-paper		minor	We fabricated 30 devices, with each device containing six pixels.		prior		
R024	numerals_notation	百分号紧贴数字：52% not 52 percent；单位前空格：120 °C not 120°C；上标单位用 Unicode（cd m⁻²、mA cm⁻²）	multi-paper		minor	The film was annealed at 135 °C for 15 min in air, then transferred to a nitrogen-filled glove box.		prior		
R027	abbreviation	use abbreviation 时先 full term + parenthetical abbreviation，第二次起只用缩写	multi-paper		minor	Significant progress in QLED performance has been made since the introduction of ZnO nanoparticles (NPs) as the electron-transport layer (ETL).		prior		
