section	opener_3gram	total_occurrences	paper_count	top_papers
results	as shown in	333	102	10.1038/s41467-026-72625-z;10.1038/s41377-025-01959-y;10.1038/s41467-020-16659-x;10.1038/s41467-025-63653-2;10.1038/s41467-024-47891-4
results	in contrast the	123	70	10.1038/s41467-026-72625-z;10.1038/s41467-025-65871-0;10.1038/s41467-020-14747-6;10.1038/s41467-024-51760-5;10.1038/s41467-024-50634-0
results	in addition the	106	67	10.1038/s41377-025-01959-y;10.1038/s41467-020-14747-6;10.1038/s41467-018-05760-x;10.1038/s41467-021-24931-x;10.1038/s43246-020-00084-0
results	as a result	100	63	10.1038/s41467-025-63653-2;10.1038/s41467-023-36773-w;10.1038/s41467-022-29812-5;10.1038/s41467-023-43408-7;10.1038/s41467-025-58047-3
methods	the mixture was	69	35	10.1038/s41467-020-14756-5;10.1038/s41467-026-70555-4;10.1038/s41467-024-55619-7;10.1038/s41467-024-50432-8;10.1038/s41467-026-75756-5
results	in addition to	64	52	10.1038/s41467-025-67347-7;10.1038/s41467-020-17633-3;10.1038/s41377-024-01704-x;10.1038/s41467-020-14756-5;10.1038/s41467-021-24762-w
results	on the other	64	38	10.1038/s41467-024-49751-7;10.1038/s41467-020-16855-9;10.1038/s41467-025-63653-2;10.1038/s41467-020-15481-9;10.1038/s41467-021-25955-z
results	based on the	61	47	10.1038/s41377-026-02356-9;10.1038/s43246-026-01177-y;10.1038/s41377-025-01959-y;10.1038/s41467-020-20582-6;10.1038/s41467-021-25955-z
results	due to the	58	39	10.1038/s41467-024-52521-0;10.1038/s41377-025-01972-1;10.1038/s41467-024-47891-4;10.1038/s43246-020-00084-0;10.1038/s41377-025-01740-1
results	in order to	58	28	10.1038/s41377-025-01959-y;10.1038/s41467-020-14747-6;10.1038/s41467-018-03049-7;10.1038/s41467-019-13909-5;10.1038/s41467-020-16865-7
results	we note that	57	30	10.1038/s41467-021-22864-z;10.1038/s41467-025-60886-z;10.1038/s41467-018-03049-7;10.1038/s41467-023-43340-w;10.1038/s41467-018-06425-5
introduction	in this work	52	52	10.1038/s41377-022-01036-8;10.1038/s41377-024-01500-7;10.1038/s41377-024-01601-3;10.1038/s41377-025-01740-1;10.1038/s41377-025-01959-y
discussion	in summary we	50	50	10.1038/s41377-020-0328-6;10.1038/s41377-022-01036-8;10.1038/s41377-024-01500-7;10.1038/s41377-024-01704-x;10.1038/s41377-024-01727-4
methods	the solution was	47	30	10.1038/s41467-022-32010-y;10.1038/s41467-026-74198-3;10.1038/s41467-020-16855-9;10.1038/s41467-024-49574-6;10.1038/s41377-024-01704-x
results	this suggests that	47	35	10.1038/s41467-022-32010-y;10.1038/s41467-024-55619-7;10.1038/s41467-018-06425-5;10.1038/s41467-021-22864-z;10.1038/s41467-023-43472-z
results	to investigate the	44	36	10.1038/s41377-025-02019-1;10.1038/s41467-020-18006-6;10.1038/s41467-023-36773-w;10.1038/s41467-023-41929-9;10.1038/s41467-024-51760-5
results	as illustrated in	44	24	10.1038/s41467-025-63653-2;10.1038/s41467-019-13909-5;10.1038/s41467-024-55376-7;10.1038/s41377-024-01601-3;10.1038/s41377-025-01835-9
results	this indicates that	44	32	10.1038/s41467-025-63389-z;10.1038/s41467-026-70555-4;10.1038/s41467-023-43408-7;10.1038/s41467-024-54160-x;10.1038/s41467-025-56068-6
introduction	as a result	44	40	10.1038/s41377-022-00855-z;10.1038/s41467-018-05909-8;10.1038/s41467-024-49574-6;10.1038/s41467-025-63389-z;10.1038/s41377-024-01704-x
results	compared with the	42	32	10.1038/s43246-020-00084-0;10.1038/s41467-024-55653-5;10.1038/s41467-026-74151-4;10.1038/s41467-023-35954-x;10.1038/s41467-024-49574-6
results	according to the	41	37	10.1038/s41377-022-01036-8;10.1038/s41377-025-01959-y;10.1038/s41467-019-13951-3;10.1038/s41467-025-56068-6;10.1038/s41377-024-01500-7
results	compared to the	40	33	10.1038/s41377-026-02247-z;10.1038/s41377-025-01972-1;10.1038/s41467-025-58047-3;10.1038/s41467-025-62345-1;10.1038/s41467-025-63389-z
methods	the samples were	33	27	10.1038/s41467-019-12558-y;10.1038/s41467-020-14756-5;10.1038/s41467-021-24616-5;10.1038/s41467-022-29812-5;10.1038/s41467-023-36118-7
results	it is worth	31	25	10.1038/s41467-020-20555-9;10.1038/s41467-021-20970-6;10.1038/s41467-023-40746-4;10.1038/s41467-024-49574-6;10.1038/s41467-024-50508-5
results	to evaluate the	30	25	10.1038/s41377-025-02019-1;10.1038/s41467-024-47184-w;10.1038/s41467-026-71301-6;10.1038/s41467-026-74198-3;10.1038/s41377-024-01500-7
results	it can be	30	17	10.1038/s41377-025-01768-3;10.1038/s41467-019-08561-y;10.1038/s41467-025-60886-z;10.1038/s41467-020-17633-3;10.1038/s41467-021-20970-6
results	full size image	29	6	10.1038/s41467-025-56987-4;10.1038/s41467-024-55619-7;10.1038/s41467-024-52401-7;10.1038/s41566-024-01458-3;10.1038/s41586-024-07149-x
results	these results indicate	26	24	10.1038/s41467-025-59527-2;10.1038/s43246-024-00645-7;10.1038/s41377-024-01704-x;10.1038/s41377-025-02019-1;10.1038/s41377-026-02184-x
abstract	here we report	26	26	10.1038/s41377-025-01987-8;10.1038/s41377-026-02237-1;10.1038/s41467-017-01379-6;10.1038/s41467-018-05909-8;10.1038/s41467-020-16652-4
results	in this case	26	19	10.1038/s41467-020-16659-x;10.1038/s41467-025-57472-8;10.1038/s41467-019-08561-y;10.1038/s41467-023-40746-4;10.1038/s43246-020-00084-0
results	in the case	26	20	10.1038/s41467-024-47184-w;10.1038/s41467-023-43408-7;10.1038/s41467-021-25955-z;10.1038/s41467-019-13951-3;10.1038/s41467-021-22864-z
results	note that the	25	17	10.1038/s41467-019-08561-y;10.1038/s41467-021-21522-8;10.1038/s41467-023-41041-y;10.1038/s41467-025-56815-9;10.1038/s41467-026-74198-3
results	in addition we	25	22	10.1038/s41377-025-01959-y;10.1038/s41377-024-01704-x;10.1038/s41377-020-0328-6;10.1038/s41377-022-01036-8;10.1038/s41377-026-02231-7
discussion	as a result	25	24	10.1038/s41377-025-01867-1;10.1038/s41377-025-01959-y;10.1038/s41377-025-02019-1;10.1038/s41467-018-07099-9;10.1038/s41467-019-09737-2
results	it should be	24	16	10.1038/s41467-022-28037-w;10.1038/s41467-025-60886-z;10.1038/s41467-019-09737-2;10.1038/s41467-026-74151-4;10.1038/s43246-026-01136-7
results	the results show	24	18	10.1038/s41377-025-01959-y;10.1038/s41377-022-01036-8;10.1038/s41467-024-50508-5;10.1038/s41467-025-66421-4;10.1038/s41467-026-69198-2
results	in contrast to	23	20	10.1038/s41467-024-55376-7;10.1038/s41467-025-66981-5;10.1038/s41928-026-01670-9;10.1038/s41377-024-01601-3;10.1038/s41377-026-02237-1
methods	the devices were	22	19	10.1038/s41467-017-01379-6;10.1038/s41467-022-32010-y;10.1038/s41928-024-01151-x;10.1038/s41467-018-03049-7;10.1038/s41467-020-14747-6
results	to understand the	22	21	10.1038/s43246-020-00084-0;10.1038/s41377-025-01768-3;10.1038/s41377-026-02247-z;10.1038/s41467-017-01379-6;10.1038/s41467-021-27652-3
methods	the perovskite precursor	22	18	10.1038/s41467-022-31478-y;10.1038/s41467-025-56001-x;10.1038/s41467-026-69198-2;10.1038/s41377-020-0328-6;10.1038/s41377-024-01500-7
results	to further investigate	22	19	10.1038/s41467-026-69198-2;10.1038/s41377-026-02184-x;10.1038/s41377-022-00992-5;10.1038/s41377-024-01727-4;10.1038/s41377-025-01817-x
results	the el spectra	22	20	10.1038/s41467-023-36118-7;10.1038/s41467-025-61085-6;10.1038/s41377-022-00855-z;10.1038/s41377-026-02231-7;10.1038/s41377-026-02247-z
results	these results suggest	22	21	10.1038/s41467-026-69198-2;10.1038/s41467-019-08749-2;10.1038/s41467-020-14747-6;10.1038/s41467-020-16855-9;10.1038/s41467-020-16865-7
methods	after that the	21	17	10.1038/s41377-024-01601-3;10.1038/s41377-026-02246-0;10.1038/s41467-025-57304-9;10.1038/s41467-025-57472-8;10.1038/s41377-025-01768-3
introduction	in addition the	21	20	10.1038/s41467-025-67347-7;10.1038/s41377-025-01959-y;10.1038/s41467-018-07099-9;10.1038/s41467-020-17633-3;10.1038/s41467-024-47184-w
discussion	in conclusion we	21	21	10.1038/s41377-022-00855-z;10.1038/s41377-025-01835-9;10.1038/s41377-025-01959-y;10.1038/s41467-018-06425-5;10.1038/s41467-019-12558-y
results	the presence of	20	18	10.1038/s41467-024-51760-5;10.1038/s41467-025-64546-0;10.1038/s41377-025-01972-1;10.1038/s41467-020-20555-9;10.1038/s41467-021-20970-6
results	figure 3a shows	20	20	10.1038/s41377-022-01036-8;10.1038/s41377-025-01817-x;10.1038/s41467-021-22864-z;10.1038/s41467-022-28480-9;10.1038/s41467-023-36773-w
