pattern_id	banned_phrase	why	smell_severity	paper_count	adversarial_count	evidence	papers
delve_into	We delve into the mechanisms of X...	We examine X / We investigate X	high	0	0	prior	substring: 'delve into'
navigate_complexities	navigating the complexities of X...	addressing X / investigating X	high	0	0	prior	substring: 'navigat' + 'complexit'
intricate_landscape	the intricate landscape of X...	the field of X / the biology of X	high	0	0	prior	substring: 'intricate landscape'
tapestry_of	the tapestry of X...	DELETE (the network of X)	high	0	0	prior	substring: 'tapestry'
harness_power	harness the power of X...	use X / leverage X	high	0	0	prior	substring: 'harness the power'
symphony_of	the symphony of X...	DELETE	high	0	0	prior	substring: 'symphony'
shed_light_on	the results shed light on X...	the results reveal X / clarify X	high	0	0	prior	substring: 'shed light'
unpack_nuances	we unpack the nuances of X...	we characterize X	high	0	0	prior	substring: 'unpack'
realm_of	exploring the realm of X...	investigating X / studying X	high	0	0	prior	substring: 'realm of'
in_today_world	in today's world, X...	DELETE (current understanding: X...)	high	0	0	prior	substring: 'in today'
modern_era	in the modern era, X...	DELETE (recent advances: X...)	high	0	0	prior	substring: 'modern era'
contemporary_society	in contemporary society, X...	DELETE	high	0	0	prior	substring: 'contemporary society'
plays_crucial_role	X plays a crucial role in Y...	X is essential for Y / X governs Y	high	0	0	prior	substring: 'plays a crucial role'
plays_pivotal_role	X plays a pivotal role in Y...	X is essential for Y / X drives Y	high	0	0	prior	substring: 'plays a pivotal role'
plays_key_role	X plays a key role in Y...	X is essential for Y / X regulates Y	high	0	0	prior	substring: 'plays a key role'
paramount_importance	X is of paramount importance...	X is essential for Y / X matters because Z	high	0	0	prior	substring: 'paramount'
cutting_edge	we used cutting-edge X...	we used X / we developed X	high	0	0	prior	substring: 'cutting-edge'
groundbreaking	we report a groundbreaking X...	we report X / we identify X	high	0	0	prior	substring: 'groundbreaking'
revolutionary	revolutionary X...	novel X (max once per paper) / new X	high	0	0	prior	substring: 'revolutionary'
paradigm_shift	this represents a paradigm shift...	DELETE / these findings change the view of	high	0	0	prior	substring: 'paradigm shift'
dive_into	we dive into X...	we examine X / we investigate X	high	0	0	prior	substring: 'dive into'
dance_of	the dance of X...	DELETE	high	0	0	prior	substring: 'dance of'
multifaceted	the multifaceted nature of X...	the several aspects of X	high	0	0	prior	substring: 'multifaceted'
myriad_of	the myriad of X...	the many X	high	0	0	prior	substring: 'myriad of'
plethora_of	a plethora of X...	many X	high	0	0	prior	substring: 'plethora of'
a_myriad_of	a myriad of X...	many X	high	0	0	prior	substring: 'a myriad of'
leverage_verb	leveraging X...	using X / with X	high	0	0	prior	substring: 'leveraging'
foster	X fosters Y...	X promotes Y / X enables Y	high	0	0	prior	substring: 'fosters'
facilitate_use	X facilitates Y...	X enables Y / X allows Y	high	0	0	prior	substring: 'facilitates'
crucial_pivotal	crucial and pivotal...	essential for / required for	high	0	0	prior	substring: 'crucial and pivotal'
fascinating	a fascinating X...	a notable X / DELETE (show via specifics)	high	0	0	prior	substring: 'fascinating'
remarkable	a remarkable X...	a notable X / DELETE	high	0	0	prior	substring: 'remarkable'
stunning	a stunning X...	DELETE / an unexpected X	high	0	0	prior	substring: 'stunning'
surprising_adj	a surprising X...	an unexpected X	high	0	0	prior	substring: 'surprising' as adjective
in_this_paper	n this paper, we...	DELETE / We ... (just use We)	critical	0	0	prior	substring: 'in this paper'
in_this_study	n this study, we...	We ...	critical	0	0	prior	substring: 'in this study'
the_authors	the authors demonstrate X...	We demonstrate X	critical	0	0	prior	substring: 'the authors'
we_believe	we believe that X...	We propose X / Our data suggest X	critical	0	0	prior	substring: 'we believe'
we_think	we think that X...	We propose X / Our data suggest X	critical	0	0	prior	substring: 'we think'
in_our_opinion	n our opinion, X...	DELETE	critical	0	0	prior	substring: 'in our opinion'
important_to_note	it is important to note that X...	DELETE (start with X directly)	critical	0	0	prior	substring: 'important to note'
should_be_noted	it should be noted that X...	DELETE	critical	0	0	prior	substring: 'should be noted'
worth_mentioning	it is worth mentioning that X...	DELETE	critical	0	0	prior	substring: 'worth mentioning'
goes_without_saying	it goes without saying that X...	DELETE	critical	0	0	prior	substring: 'goes without saying'
needless_to_say	needless to say, X...	DELETE	critical	0	0	prior	substring: 'needless to say'
obviously_to_use	obviously, X...	DELETE / X is evident from ...	critical	0	0	prior	substring: 'obviously'
clearly_avoid	clearly, X...	DELETE / X is apparent from ...	critical	0	0	prior	substring: 'clearly' at sentence start
undoubtedly	undoubtedly, X...	DELETE	critical	0	0	prior	substring: 'undoubtedly'
due_to_fact	due to the fact that X...	because X	high	0	0	prior	substring: 'due to the fact'
in_spite_of_fact	n spite of the fact that X...	although X	high	0	0	prior	substring: 'in spite of the fact'
in_order_to	n order to X...	to X	high	0	0	prior	substring: 'in order to'
a_large_number	a large number of X...	many X / N X	high	0	0	prior	substring: 'large number'
the_majority	the majority of X...	most X / the bulk of X	high	0	0	prior	substring: 'the majority of'
a_great_deal	a great deal of X...	much X	high	0	0	prior	substring: 'great deal'
utilize	we utilize X...	we use X	high	0	0	prior	substring: 'utilize'
commence	we commenced X...	we started X / X began	high	0	0	prior	substring: 'commence'
